"r, мм","Температура, °C"
0.0,1940.62
0.3947,1940.24
0.7895,1939.07
1.1842,1937.12
1.5789,1934.39
1.9737,1930.89
2.3684,1926.6
2.7632,1921.54
3.1579,1915.69
3.5526,1909.07
3.9474,1901.67
4.3421,1893.49
4.7368,1884.53
5.1316,1874.79
5.5263,1864.27
5.9211,1852.98
6.3158,1840.9
6.7105,1828.05
7.1053,1814.41
7.5,1800.0
7.5026,1790.51
7.5053,1781.03
7.5079,1771.55
7.5105,1762.07
7.5132,1752.6
7.5158,1743.13
7.5184,1733.66
7.5211,1724.2
7.5237,1714.73
7.5263,1705.28
7.5289,1695.82
7.5316,1686.37
7.5342,1676.93
7.5368,1667.48
7.5395,1658.04
7.5421,1648.6
7.5447,1639.17
7.5474,1629.74
7.55,1620.31
7.6026,1620.07
7.6553,1619.82
7.7079,1619.58
7.7605,1619.34
7.8132,1619.11
7.8658,1618.87
7.9184,1618.63
7.9711,1618.4
8.0237,1618.17
8.0763,1617.94
8.1289,1617.71
8.1816,1617.49
8.2342,1617.26
8.2868,1617.04
8.3395,1616.81
8.3921,1616.59
8.4447,1616.37
8.4974,1616.15
8.55,1615.94
