"r, мм","Температура, °C"
0.0,1940.62
0.4688,1940.08
0.9375,1938.43
1.4062,1935.68
1.875,1931.84
2.3438,1926.89
2.8125,1920.85
3.2812,1913.71
3.75,1905.47
4.2188,1896.13
4.6875,1885.69
5.1562,1874.16
5.625,1861.52
6.0938,1847.79
6.5625,1832.96
7.0312,1817.03
7.5,1800.0
7.5031,1797.91
7.5062,1795.82
7.5094,1793.73
7.5125,1791.64
7.5156,1789.55
7.5188,1787.46
7.5219,1785.37
7.525,1783.29
7.5281,1781.2
7.5312,1779.12
7.5344,1777.03
7.5375,1774.95
7.5406,1772.87
7.5438,1770.79
7.5469,1768.71
7.55,1766.63
7.6125,1766.32
7.675,1766.02
7.7375,1765.72
7.8,1765.42
7.8625,1765.13
7.925,1764.83
7.9875,1764.54
8.05,1764.25
8.1125,1763.97
8.175,1763.68
8.2375,1763.4
8.3,1763.12
8.3625,1762.84
8.425,1762.57
8.4875,1762.29
8.55,1762.02
