"r, мм","Температура, °C"
0.0,1940.62
0.3947,1940.24
0.7895,1939.07
1.1842,1937.12
1.5789,1934.39
1.9737,1930.89
2.3684,1926.6
2.7632,1921.54
3.1579,1915.69
3.5526,1909.07
3.9474,1901.67
4.3421,1893.49
4.7368,1884.53
5.1316,1874.79
5.5263,1864.27
5.9211,1852.98
6.3158,1840.9
6.7105,1828.05
7.1053,1814.41
7.5,1800.0
7.5526,1799.75
7.6053,1799.51
7.6579,1799.27
7.7105,1799.03
7.7632,1798.79
7.8158,1798.55
7.8684,1798.31
7.9211,1798.08
7.9737,1797.85
8.0263,1797.62
8.0789,1797.39
8.1316,1797.16
8.1842,1796.93
8.2368,1796.71
8.2895,1796.48
8.3421,1796.26
8.3947,1796.04
8.4474,1795.82
8.5,1795.6
