"x, мм","Температура, °C"
0.0,2081.25
0.4688,2080.15
0.9375,2076.86
1.4062,2071.36
1.875,2063.67
2.3438,2053.78
2.8125,2041.7
3.2812,2027.42
3.75,2010.94
4.2188,1992.26
4.6875,1971.39
5.1562,1948.32
5.625,1923.05
6.0938,1895.58
6.5625,1865.92
7.0312,1834.06
7.5,1800.0
7.5031,1777.46
7.5062,1754.93
7.5094,1732.39
7.5125,1709.86
7.5156,1687.32
7.5188,1664.78
7.5219,1642.25
7.525,1619.71
7.5281,1597.18
7.5312,1574.64
7.5344,1552.1
7.5375,1529.57
7.5406,1507.03
7.5438,1484.5
7.5469,1461.96
7.55,1439.42
7.6125,1438.84
7.675,1438.25
7.7375,1437.67
7.8,1437.08
7.8625,1436.49
7.925,1435.91
7.9875,1435.32
8.05,1434.74
8.1125,1434.15
8.175,1433.56
8.2375,1432.98
8.3,1432.39
8.3625,1431.81
8.425,1431.22
8.4875,1430.63
8.55,1430.05
