"x, мм","Температура, °C"
0.0,2081.25
0.3947,2080.47
0.7895,2078.13
1.1842,2074.24
1.5789,2068.78
1.9737,2061.77
2.3684,2053.2
2.7632,2043.07
3.1579,2031.39
3.5526,2018.14
3.9474,2003.34
4.3421,1986.98
4.7368,1969.06
5.1316,1949.58
5.5263,1928.55
5.9211,1905.96
6.3158,1881.8
6.7105,1856.09
7.1053,1828.83
7.5,1800.0
7.5026,1796.48
7.5053,1792.95
7.5079,1789.43
7.5105,1785.9
7.5132,1782.38
7.5158,1778.85
7.5184,1775.33
7.5211,1771.8
7.5237,1768.28
7.5263,1764.76
7.5289,1761.23
7.5316,1757.71
7.5342,1754.18
7.5368,1750.66
7.5395,1747.13
7.5421,1743.61
7.5447,1740.08
7.5474,1736.56
7.55,1733.04
7.6026,1732.54
7.6553,1732.05
7.7079,1731.56
7.7605,1731.06
7.8132,1730.57
7.8658,1730.08
7.9184,1729.58
7.9711,1729.09
8.0237,1728.59
8.0763,1728.1
8.1289,1727.61
8.1816,1727.11
8.2342,1726.62
8.2868,1726.13
8.3395,1725.63
8.3921,1725.14
8.4447,1724.65
8.4974,1724.15
8.55,1723.66
