"x, мм","Температура, °C"
0.0,2081.25
0.3947,2080.47
0.7895,2078.13
1.1842,2074.24
1.5789,2068.78
1.9737,2061.77
2.3684,2053.2
2.7632,2043.07
3.1579,2031.39
3.5526,2018.14
3.9474,2003.34
4.3421,1986.98
4.7368,1969.06
5.1316,1949.58
5.5263,1928.55
5.9211,1905.96
6.3158,1881.8
6.7105,1856.09
7.1053,1828.83
7.5,1800.0
7.5526,1799.51
7.6053,1799.01
7.6579,1798.52
7.7105,1798.03
7.7632,1797.53
7.8158,1797.04
7.8684,1796.55
7.9211,1796.05
7.9737,1795.56
8.0263,1795.07
8.0789,1794.57
8.1316,1794.08
8.1842,1793.59
8.2368,1793.09
8.2895,1792.6
8.3421,1792.11
8.3947,1791.61
8.4474,1791.12
8.5,1790.62
