"r, мм","Температура, °C"
0.0,1940.62
0.4688,1940.08
0.9375,1938.43
1.4062,1935.68
1.875,1931.84
2.3438,1926.89
2.8125,1920.85
3.2812,1913.71
3.75,1905.47
4.2188,1896.13
4.6875,1885.69
5.1562,1874.16
5.625,1861.52
6.0938,1847.79
6.5625,1832.96
7.0312,1817.03
7.5,1800.0
7.5031,1788.73
7.5062,1777.47
7.5094,1766.22
7.5125,1754.97
7.5156,1743.72
7.5188,1732.48
7.5219,1721.24
7.525,1710.01
7.5281,1698.78
7.5312,1687.55
7.5344,1676.33
7.5375,1665.12
7.5406,1653.91
7.5438,1642.71
7.5469,1631.51
7.55,1620.31
7.6125,1620.0
7.675,1619.7
7.7375,1619.4
7.8,1619.1
7.8625,1618.81
7.925,1618.51
7.9875,1618.22
8.05,1617.94
8.1125,1617.65
8.175,1617.36
8.2375,1617.08
8.3,1616.8
8.3625,1616.52
8.425,1616.25
8.4875,1615.98
8.55,1615.7
