"x, мм","Температура, °C"
0.0,2081.25
0.4688,2080.15
0.9375,2076.86
1.4062,2071.36
1.875,2063.67
2.3438,2053.78
2.8125,2041.7
3.2812,2027.42
3.75,2010.94
4.2188,1992.26
4.6875,1971.39
5.1562,1948.32
5.625,1923.05
6.0938,1895.58
6.5625,1865.92
7.0312,1834.06
7.5,1800.0
7.5031,1795.81
7.5062,1791.63
7.5094,1787.44
7.5125,1783.26
7.5156,1779.07
7.5188,1774.89
7.5219,1770.7
7.525,1766.52
7.5281,1762.33
7.5312,1758.15
7.5344,1753.96
7.5375,1749.78
7.5406,1745.59
7.5438,1741.41
7.5469,1737.22
7.55,1733.04
7.6125,1732.45
7.675,1731.86
7.7375,1731.28
7.8,1730.69
7.8625,1730.11
7.925,1729.52
7.9875,1728.93
8.05,1728.35
8.1125,1727.76
8.175,1727.18
8.2375,1726.59
8.3,1726.0
8.3625,1725.42
8.425,1724.83
8.4875,1724.25
8.55,1723.66
